0,index,time,mass,velocity,momentum,kinetic energy
0,0,32245,10.0,37.22,372.2,6926.65
1,1,32245,7.0,13.31,93.17,620.79
2,2,32245,75.0,46.4,3480.0,80767.5
0,0,32516,10.0,8.22,82.2,338.02
1,1,32516,7.0,45.38,317.66,7209.42
2,2,32516,75.0,46.4,3480.0,80767.5
0,0,32600,10.0,8.22,82.2,338.02
1,1,32600,7.0,45.38,317.66,7209.42
2,2,32600,75.0,46.4,3480.0,80767.5
0,0,32635,10.0,8.22,82.2,338.02
1,1,32635,7.0,112.22,785.54,44084.36
2,2,32635,75.0,34.21,2565.75,43892.55
0,0,32667,10.0,8.22,82.2,338.02
1,1,32667,7.0,112.22,785.54,44084.36
2,2,32667,75.0,34.21,2565.75,43892.55
0,0,32684,10.0,8.22,82.2,338.02
1,1,32684,7.0,112.22,785.54,44084.36
2,2,32684,75.0,34.21,2565.75,43892.55
0,0,32701,10.0,8.22,82.2,338.02
1,1,32702,7.0,139.25,974.75,67875.64
2,2,32702,75.0,23.15,1736.25,20101.27
0,0,32720,10.0,8.22,82.2,338.02
1,1,32720,7.0,139.25,974.75,67875.64
2,2,32720,75.0,23.15,1736.25,20101.27
0,0,32736,10.0,8.22,82.2,338.02
1,1,32736,7.0,126.42,884.94,55938.61
2,2,32736,75.0,29.22,2191.5,32038.3
0,0,32769,10.0,8.22,82.2,338.02
1,1,32769,7.0,126.42,884.94,55938.61
2,2,32769,75.0,29.22,2191.5,32038.3
0,0,32787,10.0,8.22,82.2,338.02
1,1,32787,7.0,126.42,884.94,55938.61
2,2,32787,75.0,29.22,2191.5,32038.3
0,0,32838,10.0,8.22,82.2,338.02
1,1,32838,7.0,84.09,588.63,24750.76
2,2,32838,75.0,41.06,3079.5,63226.15
0,0,32854,10.0,8.22,82.2,338.02
1,1,32854,7.0,84.09,588.63,24750.76
2,2,32854,75.0,41.06,3079.5,63226.15
0,0,32956,10.0,8.22,82.2,338.02
1,1,32956,7.0,84.09,588.63,24750.76
2,2,32956,75.0,41.06,3079.5,63226.15
0,0,33040,10.0,8.22,82.2,338.02
1,1,33040,7.0,28.86,202.02,2916.89
2,2,33040,75.0,47.62,3571.5,85060.02
0,0,33110,10.0,8.22,82.2,338.02
1,1,33110,7.0,28.86,202.02,2916.89
2,2,33110,75.0,47.62,3571.5,85060.02
0,0,33177,10.0,74.36,743.6,27650.35
1,1,33177,7.0,28.86,202.02,2916.89
2,2,33177,75.0,39.24,2943.0,57747.69
0,0,33211,10.0,74.36,743.6,27650.35
1,1,33211,7.0,28.86,202.02,2916.89
2,2,33211,75.0,39.24,2943.0,57747.69
0,0,33245,10.0,74.36,743.6,27650.35
1,1,33245,7.0,28.86,202.02,2916.89
2,2,33245,75.0,39.24,2943.0,57747.69
0,0,33279,10.0,111.89,1118.9,62601.16
1,1,33279,7.0,28.86,202.02,2916.89
2,2,33279,75.0,24.65,1848.75,22796.88
0,0,33281,10.0,111.89,1118.9,62601.16
1,1,33281,7.0,28.86,202.02,2916.89
2,2,33281,75.0,24.65,1848.75,22796.88
0,0,33312,10.0,111.89,1118.9,62601.16
1,1,33312,7.0,28.86,202.02,2916.89
2,2,33312,75.0,24.65,1848.75,22796.88
0,0,33346,10.0,93.66,936.59,43866.14
1,1,33346,7.0,28.86,202.02,2916.89
2,2,33346,75.0,33.27,2495.25,41531.9
0,0,33348,10.0,93.66,936.59,43866.14
1,1,33348,7.0,28.86,202.02,2916.89
2,2,33348,75.0,33.27,2495.25,41531.9
0,0,33397,10.0,93.66,936.59,43866.14
1,1,33397,7.0,28.86,202.02,2916.89
2,2,33397,75.0,33.27,2495.25,41531.9
0,0,33498,10.0,28.93,289.3,4184.9
1,1,33498,7.0,28.86,202.02,2916.89
2,2,33498,75.0,46.53,3489.75,81213.14
0,0,33685,10.0,28.93,289.3,4184.9
1,1,33685,7.0,28.86,202.02,2916.89
2,2,33685,75.0,46.53,3489.75,81213.14
0,0,33787,10.0,28.93,289.3,4184.9
1,1,33787,7.0,28.86,202.02,2916.89
2,2,33787,75.0,46.53,3489.75,81213.14
0,0,34312,10.0,28.93,289.3,4184.9
1,1,34312,7.0,16.28,113.96,928.29
2,2,34312,75.0,47.1,3532.5,83201.74
0,0,34481,10.0,28.93,289.3,4184.9
1,1,34481,7.0,16.28,113.96,928.29
2,2,34481,75.0,47.1,3532.5,83201.74
0,0,34498,10.0,26.59,265.89,3535.28
1,1,34498,7.0,21.23,148.61,1577.91
2,2,34498,75.0,47.1,3532.5,83201.74
0,0,34700,10.0,26.59,265.89,3535.28
1,1,34700,7.0,85.64,599.48,25672.08
2,2,34700,75.0,39.7,2977.5,59107.56
0,0,35059,10.0,26.59,265.89,3535.28
1,1,35059,7.0,85.64,599.48,25672.08
2,2,35059,75.0,39.7,2977.5,59107.56
0,0,35092,10.0,26.59,265.89,3535.28
1,1,35092,7.0,85.64,599.48,25672.08
2,2,35092,75.0,39.7,2977.5,59107.56
0,0,35143,10.0,26.59,265.89,3535.28
1,1,35143,7.0,85.64,599.48,25672.08
2,2,35143,75.0,39.7,2977.5,59107.56
0,0,35194,10.0,26.59,265.89,3535.28
1,1,35194,7.0,114.54,801.78,45921.9
2,2,35194,75.0,32.19,2414.25,38857.75
0,0,35196,10.0,26.59,265.89,3535.28
1,1,35196,7.0,114.54,801.78,45921.9
2,2,35196,75.0,32.19,2414.25,38857.75
0,0,35245,10.0,77.55,775.5,30072.97
1,1,35245,7.0,74.07,518.49,19202.72
2,2,35245,75.0,32.19,2414.25,38857.75
0,0,35261,10.0,77.55,775.5,30072.97
1,1,35261,7.0,74.07,518.49,19202.72
2,2,35261,75.0,32.19,2414.25,38857.75
0,0,35296,10.0,56.3,563.0,15852.57
1,1,35297,7.0,97.72,684.04,33423.12
2,2,35297,75.0,32.19,2414.25,38857.75
0,0,35312,10.0,56.3,563.0,15852.57
1,1,35312,7.0,97.72,684.04,33423.12
2,2,35312,75.0,32.19,2414.25,38857.75
0,0,35347,10.0,56.3,563.0,15852.57
1,1,35347,7.0,97.72,684.04,33423.12
2,2,35347,75.0,32.19,2414.25,38857.75
0,0,35364,10.0,97.01,970.1,47057.43
1,1,35364,7.0,25.17,176.19,2218.26
2,2,35364,75.0,32.19,2414.25,38857.75
0,0,35449,10.0,97.01,970.1,47057.43
1,1,35449,7.0,25.17,176.19,2218.26
2,2,35449,75.0,32.19,2414.25,38857.75
0,0,35466,10.0,97.01,970.1,47057.43
1,1,35466,7.0,25.17,176.19,2218.26
2,2,35466,75.0,32.19,2414.25,38857.75
0,0,35502,10.0,51.4,514.0,13214.87
1,1,35502,7.0,101.5,710.5,36060.82
2,2,35502,75.0,32.19,2414.25,38857.75
0,0,35534,10.0,51.4,514.0,13214.87
1,1,35534,7.0,101.5,710.5,36060.82
2,2,35534,75.0,32.19,2414.25,38857.75
0,0,35535,10.0,51.4,514.0,13214.87
1,1,35535,7.0,101.5,710.5,36060.82
2,2,35535,75.0,32.19,2414.25,38857.75
0,0,35568,10.0,50.9,509.0,12957.09
1,1,35568,7.0,90.22,631.54,28490.03
2,2,35568,75.0,35.28,2646.0,46686.33
0,0,35620,10.0,50.9,509.0,12957.09
1,1,35620,7.0,90.22,631.54,28490.03
2,2,35620,75.0,35.28,2646.0,46686.33
0,0,35653,10.0,86.55,865.5,37457.87
1,1,35653,7.0,33.76,236.32,3989.25
2,2,35653,75.0,35.28,2646.0,46686.33
0,0,35671,10.0,86.55,865.5,37457.87
1,1,35671,7.0,33.76,236.32,3989.25
2,2,35671,75.0,35.28,2646.0,46686.33
0,0,35721,10.0,44.15,441.5,9747.47
1,1,35721,7.0,95.16,666.12,31699.64
2,2,35721,75.0,35.28,2646.0,46686.33
0,0,35788,10.0,44.15,441.5,9747.47
1,1,35788,7.0,95.16,666.12,31699.64
2,2,35788,75.0,35.28,2646.0,46686.33
0,0,35821,10.0,44.15,441.5,9747.47
1,1,35821,7.0,95.16,666.12,31699.64
2,2,35821,75.0,35.28,2646.0,46686.33
0,0,35855,10.0,47.22,472.2,11150.52
1,1,35855,7.0,93.03,651.21,30296.6
2,2,35855,75.0,35.28,2646.0,46686.33
0,0,35925,10.0,47.22,472.2,11150.52
1,1,35925,7.0,93.03,651.21,30296.6
2,2,35925,75.0,35.28,2646.0,46686.33
0,0,36044,10.0,47.22,472.2,11150.52
1,1,36044,7.0,52.06,364.42,9486.84
2,2,36044,75.0,42.42,3181.5,67496.08
0,0,36145,10.0,43.19,431.9,9329.42
1,1,36145,7.0,56.84,397.88,11307.94
2,2,36145,75.0,42.42,3181.5,67496.08
0,0,36584,10.0,43.19,431.9,9329.42
1,1,36584,7.0,56.84,397.88,11307.94
2,2,36584,75.0,42.42,3181.5,67496.08
0,0,36619,10.0,43.19,431.9,9329.42
1,1,36619,7.0,56.84,397.88,11307.94
2,2,36619,75.0,42.42,3181.5,67496.08
0,0,36621,10.0,43.19,431.9,9329.42
1,1,36621,7.0,56.84,397.88,11307.94
2,2,36621,75.0,42.42,3181.5,67496.08
0,0,36669,10.0,43.19,431.9,9329.42
1,1,36669,7.0,56.84,397.88,11307.94
2,2,36669,75.0,42.42,3181.5,67496.08
0,0,36840,10.0,43.19,431.9,9329.42
1,1,36840,7.0,56.84,397.88,11307.94
2,2,36840,75.0,42.42,3181.5,67496.08
0,0,36993,10.0,43.19,431.9,9329.42
1,1,36993,7.0,56.84,397.88,11307.94
2,2,36993,75.0,42.42,3181.5,67496.08
0,0,37232,10.0,49.63,496.3,12318.39
1,1,37232,7.0,48.75,341.25,8318.97
2,2,37232,75.0,42.42,3181.5,67496.08
0,0,37316,10.0,49.63,496.3,12318.39
1,1,37316,7.0,48.75,341.25,8318.97
2,2,37316,75.0,42.42,3181.5,67496.08
0,0,37485,10.0,49.63,496.3,12318.39
1,1,37485,7.0,48.75,341.25,8318.97
2,2,37485,75.0,42.42,3181.5,67496.08
0,0,37571,10.0,49.63,496.3,12318.39
1,1,37571,7.0,61.47,430.29,13226.52
2,2,37572,75.0,40.85,3063.75,62588.53
0,0,37689,10.0,18.38,183.8,1690.54
1,1,37689,7.0,82.55,577.85,23854.37
2,2,37689,75.0,40.85,3063.75,62588.53
0,0,37790,10.0,18.38,183.8,1690.54
1,1,37790,7.0,82.55,577.85,23854.37
2,2,37790,75.0,40.85,3063.75,62588.53
0,0,37841,10.0,55.87,558.69,15607.5
1,1,37841,7.0,82.55,577.85,23854.37
2,2,37841,75.0,36.02,2701.5,48671.58
0,0,37943,10.0,55.87,558.69,15607.5
1,1,37943,7.0,76.37,534.59,20417.11
2,2,37943,75.0,37.27,2795.25,52108.83
0,0,38044,10.0,55.87,558.69,15607.5
1,1,38044,7.0,76.37,534.59,20417.11
2,2,38044,75.0,37.27,2795.25,52108.83
0,0,38077,10.0,55.87,558.69,15607.5
1,1,38077,7.0,76.37,534.59,20417.11
2,2,38077,75.0,37.27,2795.25,52108.83
0,0,38180,10.0,55.87,558.69,15607.5
1,1,38180,7.0,30.24,211.67,3200.82
2,2,38180,75.0,42.99,3224.25,69325.12
0,0,38317,10.0,55.87,558.69,15607.5
1,1,38317,7.0,30.24,211.67,3200.82
2,2,38317,75.0,42.99,3224.25,69325.12
0,0,38470,10.0,64.62,646.2,20882.32
1,1,38470,7.0,30.24,211.67,3200.82
2,2,38470,75.0,41.32,3099.0,64050.3
0,0,38504,10.0,64.62,646.2,20882.32
1,1,38504,7.0,30.24,211.67,3200.82
2,2,38504,75.0,41.32,3099.0,64050.3
0,0,38691,10.0,64.62,646.2,20882.32
1,1,38691,7.0,30.24,211.67,3200.82
2,2,38691,75.0,41.32,3099.0,64050.3
0,0,38775,10.0,64.62,646.2,20882.32
1,1,38775,7.0,30.24,211.67,3200.82
2,2,38775,75.0,41.32,3099.0,64050.3
0,0,39081,10.0,41.28,412.8,8521.61
1,1,39081,7.0,30.24,211.67,3200.82
2,2,39081,75.0,45.14,3385.5,76411.01
0,0,39166,10.0,29.3,293.0,4295.11
1,1,39166,7.0,46.06,322.42,7427.32
2,2,39166,75.0,45.14,3385.5,76411.01
0,0,39216,10.0,29.3,293.0,4295.11
1,1,39216,7.0,46.06,322.42,7427.32
2,2,39216,75.0,45.14,3385.5,76411.01
0,0,39354,10.0,47.08,470.79,11085.3
1,1,39354,7.0,13.49,94.43,637.13
2,2,39354,75.0,45.14,3385.5,76411.01
0,0,39386,10.0,47.08,470.79,11085.3
1,1,39386,7.0,13.49,94.43,637.13
2,2,39386,75.0,45.14,3385.5,76411.01
0,0,39605,10.0,47.08,470.79,11085.3
1,1,39605,7.0,13.49,94.43,637.13
2,2,39605,75.0,45.14,3385.5,76411.01
0,0,39607,10.0,47.08,470.79,11085.3
1,1,39607,7.0,13.49,94.43,637.13
2,2,39607,75.0,45.14,3385.5,76411.01
0,0,39740,10.0,47.08,470.79,11085.3
1,1,39740,7.0,13.49,94.43,637.13
2,2,39740,75.0,45.14,3385.5,76411.01
0,0,39911,10.0,89.78,897.8,40304.2
1,1,39911,7.0,13.49,94.43,637.13
2,2,39911,75.0,35.47,2660.25,47192.12
0,0,39996,10.0,59.72,597.2,17833.41
1,1,39996,7.0,81.25,568.75,23107.91
2,2,39996,75.0,35.47,2660.25,47192.12
0,0,40099,10.0,59.72,597.2,17833.41
1,1,40099,7.0,81.25,568.75,23107.91
2,2,40099,75.0,35.47,2660.25,47192.12
0,0,40319,10.0,90.45,904.5,40908.09
1,1,40319,7.0,3.08,21.56,33.23
2,2,40319,75.0,35.47,2660.25,47192.12
0,0,40337,10.0,90.45,904.5,40908.09
1,1,40337,7.0,3.08,21.56,33.23
2,2,40337,75.0,35.47,2660.25,47192.12
0,0,40387,10.0,90.45,904.5,40908.09
1,1,40387,7.0,3.08,21.56,33.23
2,2,40387,75.0,35.47,2660.25,47192.12
0,0,40439,10.0,123.78,1237.8,76617.36
1,1,40439,7.0,3.08,21.56,33.23
2,2,40439,75.0,17.49,1311.74,11482.85
0,0,40523,10.0,123.78,1237.8,76617.36
1,1,40523,7.0,3.08,21.56,33.23
2,2,40523,75.0,17.49,1311.74,11482.85
0,0,40555,10.0,51.99,519.9,13515.78
1,1,40555,7.0,134.3,940.1,63134.81
2,2,40555,75.0,17.49,1311.74,11482.85
0,0,40589,10.0,68.33,683.3,23350.53
1,1,40589,7.0,134.3,940.1,63134.81
2,2,40589,75.0,6.62,496.5,1648.1
0,0,40623,10.0,68.33,683.3,23350.53
1,1,40623,7.0,134.3,940.1,63134.81
2,2,40623,75.0,6.62,496.5,1648.1
0,0,40690,10.0,84.72,847.2,35889.27
1,1,40690,7.0,120.23,841.61,50596.07
2,2,40690,75.0,6.62,496.5,1648.1
0,0,40791,10.0,84.72,847.2,35889.27
1,1,40791,7.0,120.23,841.61,50596.07
2,2,40791,75.0,6.62,496.5,1648.1
0,0,40809,10.0,84.72,847.2,35889.27
1,1,40809,7.0,120.23,841.61,50596.07
2,2,40809,75.0,6.62,496.5,1648.1
0,0,40826,10.0,81.37,813.7,33107.84
1,1,40826,7.0,120.23,841.61,50596.07
2,2,40826,75.0,10.86,814.5,4429.54
0,0,40843,10.0,81.37,813.7,33107.84
1,1,40843,7.0,120.23,841.61,50596.07
2,2,40843,75.0,10.86,814.5,4429.54
0,0,40844,10.0,81.37,813.7,33107.84
1,1,40844,7.0,120.23,841.61,50596.07
2,2,40844,75.0,10.86,814.5,4429.54
0,0,40860,10.0,44.12,441.2,9735.81
1,1,40860,7.0,120.23,841.61,50596.07
2,2,40860,75.0,27.22,2041.5,27801.56
0,0,40911,10.0,44.12,441.2,9735.81
1,1,40911,7.0,120.23,841.61,50596.07
2,2,40911,75.0,27.22,2041.5,27801.56
0,0,41012,10.0,19.28,192.8,1858.61
1,1,41012,7.0,120.23,841.61,50596.07
2,2,41012,75.0,30.84,2313.0,35678.76
0,0,41113,10.0,89.8,898.0,40320.87
1,1,41113,7.0,58.87,412.09,12133.81
2,2,41113,75.0,30.84,2313.0,35678.76
0,0,41115,10.0,89.8,898.0,40320.87
1,1,41115,7.0,58.87,412.09,12133.81
2,2,41115,75.0,30.84,2313.0,35678.76
0,0,41401,10.0,89.8,898.0,40320.87
1,1,41401,7.0,58.87,412.09,12133.81
2,2,41401,75.0,30.84,2313.0,35678.76
0,0,41418,10.0,89.8,898.0,40320.87
1,1,41418,7.0,58.87,412.09,12133.81
2,2,41418,75.0,30.84,2313.0,35678.76
0,0,41436,10.0,42.49,424.9,9029.52
1,1,41436,7.0,111.38,779.66,43425.16
2,2,41436,75.0,30.84,2313.0,35678.76
0,0,41453,10.0,42.49,424.9,9029.52
1,1,41453,7.0,111.38,779.66,43425.16
2,2,41453,75.0,30.84,2313.0,35678.76
0,0,41688,10.0,99.21,992.09,49216.26
1,1,41688,7.0,30.41,212.87,3238.42
2,2,41688,75.0,30.84,2313.0,35678.76
0,0,41841,10.0,99.21,992.09,49216.26
1,1,41841,7.0,30.41,212.87,3238.42
2,2,41841,75.0,30.84,2313.0,35678.76
0,0,41925,10.0,7.05,70.5,248.75
1,1,41925,7.0,122.13,854.91,52205.92
2,2,41925,75.0,30.84,2313.0,35678.76
0,0,42026,10.0,7.05,70.5,248.75
1,1,42026,7.0,122.13,854.91,52205.92
2,2,42026,75.0,30.84,2313.0,35678.76
0,0,42079,10.0,63.96,639.6,20457.0
1,1,42079,7.0,95.61,669.27,31997.68
2,2,42079,75.0,30.84,2313.0,35678.76
0,0,42094,10.0,63.96,639.6,20457.0
1,1,42095,7.0,95.61,669.27,31997.68
2,2,42095,75.0,30.84,2313.0,35678.76
0,0,42315,10.0,63.96,639.6,20457.0
1,1,42315,7.0,95.61,669.27,31997.68
2,2,42315,75.0,30.84,2313.0,35678.76
